Number;Name;Type 1;Type 2;Abilities;HP;Att;Def;Spa;Spd;Spe;BST;Height;Weight;Generation;Experience type;Evolutionary Stage;Final Evolution;Catch Rate;Legendary;Mega Evolution;Alolan Form;Galarian Form;Against Normal;Against Fire;Against Water;Against Electric;Against Grass;Against Ice;Against Fighting;Against Poison;Against Ground;Against Flying;Against Psychic;Against Bug;Against Rock;Against Ghost;Against Dragon;Against Dark;Against Steel;Against Fairy
195;Quagsire;Water;Ground;['Damp', 'Unaware', 'Water Absorb'];95;85;85;65;65;35;430;1.4;75.0;2;Medium Fast;2;1;90;0;0;0;0;1.0;0.5;1.0;0.0;4.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;0.5;1.0;1.0;1.0;0.5;1.0
196;Espeon;Psychic;;['Magic Bounce', 'Synchronize'];65;65;60;130;95;110;525;0.9;26.5;2;Medium Fast;2;1;45;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0;1.0;1.0;0.5;2.0;1.0;2.0;1.0;2.0;1.0;1.0
197;Umbreon;Dark;;['Inner Focus', 'Synchronize'];95;65;110;60;130;65;525;1.0;27.0;2;Medium Fast;2;1;45;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;0.0;2.0;1.0;0.5;1.0;0.5;1.0;2.0
198;Murkrow;Dark;Flying;['Insomnia', 'Prankster', 'Super Luck'];60;85;42;85;42;91;405;0.5;2.1;2;Medium Slow;1;0;30;0;0;0;0;1.0;1.0;1.0;2.0;0.5;2.0;1.0;1.0;0.0;1.0;0.0;1.0;2.0;0.5;1.0;0.5;1.0;2.0
199;Slowking;Water;Psychic;['Oblivious', 'Own Tempo', 'Regenerator'];95;75;80;100;110;30;490;2.0;79.5;2;Medium Fast;2;1;70;0;0;0;0;1.0;0.5;0.5;2.0;2.0;0.5;0.5;1.0;1.0;1.0;0.5;2.0;1.0;2.0;1.0;2.0;0.5;1.0
199;Galarian Slowking;Poison;Psychic;['Curious Medicine', 'Own Tempo', 'Regenerator'];95;65;80;110;110;30;490;1.8;79.5;8;Medium Fast;2;1;70;0;0;0;1;1.0;1.0;1.0;1.0;0.5;1.0;0.3;0.5;2.0;1.0;1.0;1.0;1.0;2.0;1.0;2.0;1.0;0.5
200;Misdreavus;Ghost;;['Levitate'];60;60;60;85;85;85;435;0.7;1.0;2;Fast;1;0;45;0;0;0;0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5;1.0;1.0;1.0;0.5;1.0;2.0;1.0;2.0;1.0;1.0
201;Unown;Psychic;;['Levitate'];48;72;48;72;48;48;336;0.5;5.0;2;Medium Fast;1;1;225;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0;1.0;1.0;0.5;2.0;1.0;2.0;1.0;2.0;1.0;1.0
202;Wobbuffet;Psychic;;['Shadow Tag', 'Telepathy'];190;33;58;33;58;33;405;1.3;28.5;2;Medium Fast;2;1;45;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0;1.0;1.0;0.5;2.0;1.0;2.0;1.0;2.0;1.0;1.0
203;Girafarig;Normal;Psychic;['Early Bird', 'Inner Focus', 'Sap Sipper'];70;80;65;90;65;85;455;1.5;41.5;2;Medium Fast;1;1;60;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;2.0;1.0;0.0;1.0;2.0;1.0;1.0
204;Pineco;Bug;;['Overcoat', 'Sturdy'];50;65;90;35;35;15;290;0.6;7.2;2;Medium Fast;1;0;190;0;0;0;0;1.0;2.0;1.0;1.0;0.5;1.0;0.5;1.0;0.5;2.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0
205;Forretress;Bug;Steel;['Overcoat', 'Sturdy'];75;90;140;60;60;40;465;1.2;125.8;2;Medium Fast;2;1;75;0;0;0;0;0.5;4.0;1.0;1.0;0.3;0.5;1.0;0.0;1.0;1.0;0.5;0.5;1.0;1.0;0.5;1.0;0.5;0.5
206;Dunsparce;Normal;;['Rattled', 'Run Away', 'Serene Grace'];100;70;70;65;65;45;415;1.5;14.0;2;Medium Fast;1;1;190;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0
207;Gligar;Ground;Flying;['Hyper Cutter', 'Immunity', 'Sand Veil'];65;75;105;35;65;85;430;1.1;64.8;2;Medium Slow;1;0;60;0;0;0;0;1.0;1.0;2.0;0.0;1.0;4.0;0.5;0.5;0.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0
208;Steelix;Steel;Ground;['Rock Head', 'Sheer Force', 'Sturdy'];75;85;200;55;65;30;510;9.2;400.0;2;Medium Fast;2;1;25;0;0;0;0;0.5;2.0;2.0;0.0;1.0;1.0;2.0;0.0;2.0;0.5;0.5;0.5;0.3;1.0;0.5;1.0;0.5;0.5
208;Mega Steelix;Steel;Ground;['Sand Force'];75;125;230;55;95;30;610;10.5;740.0;6;Medium Fast;2;1;25;0;1;0;0;0.5;2.0;2.0;0.0;1.0;1.0;2.0;0.0;2.0;0.5;0.5;0.5;0.3;1.0;0.5;1.0;0.5;0.5
209;Snubbull;Fairy;;['Intimidate', 'Rattled', 'Run Away'];60;80;50;40;40;30;300;0.6;7.8;2;Fast;1;0;190;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;2.0;1.0;1.0;1.0;0.5;1.0;1.0;0.0;0.5;2.0;1.0
210;Granbull;Fairy;;['Intimidate', 'Quick Feet', 'Rattled'];90;120;75;60;60;45;450;1.4;48.7;2;Fast;2;1;75;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;2.0;1.0;1.0;1.0;0.5;1.0;1.0;0.0;0.5;2.0;1.0
211;Qwilfish;Water;Poison;['Intimidate', 'Poison Point', 'Swift Swim'];65;95;85;55;55;85;440;0.5;3.9;2;Medium Fast;1;1;45;0;0;0;0;1.0;0.5;0.5;2.0;1.0;0.5;0.5;0.5;2.0;1.0;2.0;0.5;1.0;1.0;1.0;1.0;0.5;0.5
212;Scizor;Bug;Steel;['Light Metal', 'Swarm', 'Technician'];70;130;100;55;80;65;500;1.8;118.0;2;Medium Fast;2;1;25;0;0;0;0;0.5;4.0;1.0;1.0;0.3;0.5;1.0;0.0;1.0;1.0;0.5;0.5;1.0;1.0;0.5;1.0;0.5;0.5
212;Mega Scizor;Bug;Steel;['Technician'];70;150;140;65;100;75;600;2.0;125.0;6;Medium Fast;2;1;25;0;1;0;0;0.5;4.0;1.0;1.0;0.3;0.5;1.0;0.0;1.0;1.0;0.5;0.5;1.0;1.0;0.5;1.0;0.5;0.5
213;Shuckle;Bug;Rock;['Contrary', 'Gluttony', 'Sturdy'];20;10;230;10;230;5;505;0.6;20.5;2;Medium Slow;1;1;190;0;0;0;0;0.5;1.0;2.0;1.0;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;2.0;1.0
214;Heracross;Bug;Fighting;['Guts', 'Moxie', 'Swarm'];80;125;75;40;95;85;500;1.5;54.0;2;Slow;1;1;45;0;0;0;0;1.0;2.0;1.0;1.0;0.5;1.0;0.5;1.0;0.5;4.0;2.0;0.5;1.0;1.0;1.0;0.5;1.0;2.0
214;Mega Heracross;Bug;Fighting;['Skill Link'];80;185;115;40;105;75;600;1.7;62.5;6;Slow;1;1;45;0;1;0;0;1.0;2.0;1.0;1.0;0.5;1.0;0.5;1.0;0.5;4.0;2.0;0.5;1.0;1.0;1.0;0.5;1.0;2.0
215;Sneasel;Dark;Ice;['Inner Focus', 'Keen Eye', 'Pickpocket'];55;95;55;35;75;115;430;0.9;28.0;2;Medium Slow;1;0;60;0;0;0;0;1.0;2.0;1.0;1.0;1.0;0.5;4.0;1.0;1.0;1.0;0.0;2.0;2.0;0.5;1.0;0.5;2.0;2.0
216;Teddiursa;Normal;;['Honey Gather', 'Pickup', 'Quick Feet'];60;80;50;50;50;40;330;0.6;8.8;2;Medium Fast;1;0;120;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0
217;Ursaring;Normal;;['Guts', 'Quick Feet', 'Unnerve'];90;130;75;75;75;55;500;1.8;125.8;2;Medium Fast;2;1;60;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0
218;Slugma;Fire;;['Flame Body', 'Magma Armor', 'Weak Armor'];40;40;40;70;40;20;250;0.7;35.0;2;Medium Fast;1;0;190;0;0;0;0;1.0;0.5;2.0;1.0;0.5;0.5;1.0;1.0;2.0;1.0;1.0;0.5;2.0;1.0;1.0;1.0;0.5;0.5
219;Magcargo;Fire;Rock;['Flame Body', 'Magma Armor', 'Weak Armor'];60;50;120;90;80;30;430;0.8;55.0;2;Medium Fast;2;1;75;0;0;0;0;0.5;0.3;4.0;1.0;1.0;0.5;2.0;0.5;4.0;0.5;1.0;0.5;2.0;1.0;1.0;1.0;1.0;0.5
220;Swinub;Ice;Ground;['Oblivious', 'Snow Cloak', 'Thick Fat'];50;50;40;30;30;50;250;0.4;6.5;2;Slow;1;0;225;0;0;0;0;1.0;2.0;2.0;0.0;2.0;1.0;2.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0
221;Piloswine;Ice;Ground;['Oblivious', 'Snow Cloak', 'Thick Fat'];100;100;80;60;60;50;450;1.1;55.8;2;Slow;2;0;75;0;0;0;0;1.0;2.0;2.0;0.0;2.0;1.0;2.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0
222;Corsola;Water;Rock;['Hustle', 'Natural Cure', 'Regenerator'];65;55;95;65;95;35;410;0.6;5.0;2;Fast;1;1;60;0;0;0;0;0.5;0.3;1.0;2.0;4.0;0.5;2.0;0.5;2.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
222;Galarian Corsola;Ghost;;['Cursed Body', 'Weak Armor'];60;55;100;65;100;30;410;0.6;0.5;8;Fast;1;0;60;0;0;0;1;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.5;1.0;1.0;1.0;0.5;1.0;2.0;1.0;2.0;1.0;1.0
223;Remoraid;Water;;['Hustle', 'Moody', 'Sniper'];35;65;35;65;35;65;300;0.6;12.0;2;Medium Fast;1;0;190;0;0;0;0;1.0;0.5;0.5;2.0;2.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0
224;Octillery;Water;;['Moody', 'Sniper', 'Suction Cups'];75;105;75;105;75;45;480;0.9;28.5;2;Medium Fast;2;1;75;0;0;0;0;1.0;0.5;0.5;2.0;2.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0
225;Delibird;Ice;Flying;['Hustle', 'Insomnia', 'Vital Spirit'];45;55;45;65;45;75;330;0.9;16.0;2;Fast;1;1;45;0;0;0;0;1.0;2.0;1.0;2.0;0.5;1.0;1.0;1.0;0.0;1.0;1.0;0.5;4.0;1.0;1.0;1.0;2.0;1.0
226;Mantine;Water;Flying;['Swift Swim', 'Water Absorb', 'Water Veil'];85;40;70;80;140;70;485;2.1;220.0;2;Slow;2;1;25;0;0;0;0;1.0;0.5;0.5;4.0;1.0;1.0;0.5;1.0;0.0;1.0;1.0;0.5;2.0;1.0;1.0;1.0;0.5;1.0
227;Skarmory;Steel;Flying;['Keen Eye', 'Sturdy', 'Weak Armor'];65;80;140;40;70;70;465;1.7;50.5;2;Slow;1;1;25;0;0;0;0;0.5;2.0;1.0;2.0;0.3;1.0;1.0;0.0;0.0;0.5;0.5;0.3;1.0;1.0;0.5;1.0;0.5;0.5
228;Houndour;Dark;Fire;['Early Bird', 'Flash Fire', 'Unnerve'];45;60;30;80;50;65;330;0.6;10.8;2;Slow;1;0;120;0;0;0;0;1.0;0.5;2.0;1.0;0.5;0.5;2.0;1.0;2.0;1.0;0.0;1.0;2.0;0.5;1.0;0.5;0.5;1.0
229;Houndoom;Dark;Fire;['Early Bird', 'Flash Fire', 'Unnerve'];75;90;50;110;80;95;500;1.4;35.0;2;Slow;2;1;45;0;0;0;0;1.0;0.5;2.0;1.0;0.5;0.5;2.0;1.0;2.0;1.0;0.0;1.0;2.0;0.5;1.0;0.5;0.5;1.0
229;Mega Houndoom;Dark;Fire;['Solar Power'];75;90;90;140;90;115;600;1.9;49.5;6;Slow;2;1;45;0;1;0;0;1.0;0.5;2.0;1.0;0.5;0.5;2.0;1.0;2.0;1.0;0.0;1.0;2.0;0.5;1.0;0.5;0.5;1.0
230;Kingdra;Water;Dragon;['Damp', 'Sniper', 'Swift Swim'];75;95;95;95;95;85;540;1.8;152.0;2;Medium Fast;3;1;45;0;0;0;0;1.0;0.3;0.3;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;0.5;2.0
231;Phanpy;Ground;;['Pickup', 'Sand Veil'];90;60;60;40;40;40;330;0.5;33.5;2;Medium Fast;1;0;120;0;0;0;0;1.0;1.0;2.0;0.0;2.0;2.0;1.0;0.5;1.0;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0
232;Donphan;Ground;;['Sand Veil', 'Sturdy'];90;120;120;60;60;50;500;1.1;120.0;2;Medium Fast;2;1;60;0;0;0;0;1.0;1.0;2.0;0.0;2.0;2.0;1.0;0.5;1.0;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0
233;Porygon2;Normal;;['Analytic', 'Download', 'Trace'];85;80;90;105;95;60;515;0.6;32.5;2;Medium Fast;2;0;45;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0
234;Stantler;Normal;;['Frisk', 'Intimidate', 'Sap Sipper'];73;95;62;85;65;85;465;1.4;71.2;2;Slow;1;1;45;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0
235;Smeargle;Normal;;['Moody', 'Own Tempo', 'Technician'];55;20;35;20;45;75;250;1.2;58.0;2;Fast;1;1;45;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0
236;Tyrogue;Fighting;;['Guts', 'Steadfast', 'Vital Spirit'];35;35;35;35;35;35;210;0.7;21.0;2;Medium Fast;1;0;75;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;0.5;0.5;1.0;1.0;0.5;1.0;2.0
237;Hitmontop;Fighting;;['Intimidate', 'Steadfast', 'Technician'];50;95;95;35;110;70;455;1.4;48.0;2;Medium Fast;2;1;45;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;0.5;0.5;1.0;1.0;0.5;1.0;2.0
238;Smoochum;Ice;Psychic;['Forewarn', 'Hydration', 'Oblivious'];45;30;15;85;65;65;305;0.4;6.0;2;Medium Fast;1;0;45;0;0;0;0;1.0;2.0;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;0.5;2.0;2.0;2.0;1.0;2.0;2.0;1.0
239;Elekid;Electric;;['Static', 'Vital Spirit'];45;63;37;65;55;95;360;0.6;23.5;2;Medium Fast;1;0;45;0;0;0;0;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;2.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0
240;Magby;Fire;;['Flame Body', 'Vital Spirit'];45;75;37;70;55;83;365;0.7;21.4;2;Medium Fast;1;0;45;0;0;0;0;1.0;0.5;2.0;1.0;0.5;0.5;1.0;1.0;2.0;1.0;1.0;0.5;2.0;1.0;1.0;1.0;0.5;0.5
241;Miltank;Normal;;['Sap Sipper', 'Scrappy', 'Thick Fat'];95;80;105;40;70;100;490;1.2;75.5;2;Slow;1;1;45;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0
242;Blissey;Normal;;['Healer', 'Natural Cure', 'Serene Grace'];255;10;10;75;135;55;540;1.5;46.8;2;Fast;3;1;30;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0
243;Raikou;Electric;;['Inner Focus', 'Pressure'];90;85;75;115;100;115;580;1.9;178.0;2;Slow;1;1;3;1;0;0;0;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;2.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0
244;Entei;Fire;;['Inner Focus', 'Pressure'];115;115;85;90;75;100;580;2.1;198.0;2;Slow;1;1;3;1;0;0;0;1.0;0.5;2.0;1.0;0.5;0.5;1.0;1.0;2.0;1.0;1.0;0.5;2.0;1.0;1.0;1.0;0.5;0.5
245;Suicune;Water;;['Inner Focus', 'Pressure'];100;75;115;90;115;85;580;2.0;187.0;2;Slow;1;1;3;1;0;0;0;1.0;0.5;0.5;2.0;2.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0
246;Larvitar;Rock;Ground;['Guts', 'Sand Veil'];50;64;50;45;50;41;300;0.6;72.0;2;Slow;1;0;45;0;0;0;0;0.5;0.5;4.0;0.0;4.0;2.0;2.0;0.3;2.0;0.5;1.0;1.0;0.5;1.0;1.0;1.0;2.0;1.0
247;Pupitar;Rock;Ground;['Shed Skin'];70;84;70;65;70;51;410;1.2;152.0;2;Slow;2;0;45;0;0;0;0;0.5;0.5;4.0;0.0;4.0;2.0;2.0;0.3;2.0;0.5;1.0;1.0;0.5;1.0;1.0;1.0;2.0;1.0
248;Tyranitar;Rock;Dark;['Sand Stream', 'Unnerve'];100;134;110;95;100;61;600;2.0;202.0;2;Slow;3;1;45;0;0;0;0;0.5;0.5;2.0;1.0;2.0;1.0;4.0;0.5;2.0;0.5;0.0;2.0;1.0;0.5;1.0;0.5;2.0;2.0
248;Mega Tyranitar;Rock;Dark;['Sand Stream'];100;164;150;95;120;71;700;2.5;255.0;6;Slow;3;1;45;0;1;0;0;0.5;0.5;2.0;1.0;2.0;1.0;4.0;0.5;2.0;0.5;0.0;2.0;1.0;0.5;1.0;0.5;2.0;2.0
249;Lugia;Psychic;Flying;['Multiscale', 'Pressure'];106;90;130;90;154;110;680;5.2;216.0;2;Slow;1;1;3;1;0;0;0;1.0;1.0;1.0;2.0;0.5;2.0;0.3;1.0;0.0;1.0;0.5;1.0;2.0;2.0;1.0;2.0;1.0;1.0
250;Ho-Oh;Fire;Flying;['Pressure', 'Regenerator'];106;130;90;110;154;90;680;3.8;199.0;2;Slow;1;1;3;1;0;0;0;1.0;0.5;2.0;2.0;0.3;1.0;0.5;1.0;0.0;1.0;1.0;0.3;4.0;1.0;1.0;1.0;0.5;0.5
251;Celebi;Psychic;Grass;['Natural Cure'];100;100;100;100;100;100;600;0.6;5.0;2;Medium Slow;1;1;45;1;0;0;0;1.0;2.0;0.5;0.5;0.5;2.0;0.5;2.0;0.5;2.0;0.5;4.0;1.0;2.0;1.0;2.0;1.0;1.0
252;Treecko;Grass;;['Overgrow', 'Unburden'];40;45;35;65;55;70;310;0.5;5.0;3;Medium Slow;1;0;45;0;0;0;0;1.0;2.0;0.5;0.5;0.5;2.0;1.0;2.0;0.5;2.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0
253;Grovyle;Grass;;['Overgrow', 'Unburden'];50;65;45;85;65;95;405;0.9;21.6;3;Medium Slow;2;0;45;0;0;0;0;1.0;2.0;0.5;0.5;0.5;2.0;1.0;2.0;0.5;2.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0
254;Sceptile;Grass;;['Overgrow', 'Unburden'];70;85;65;105;85;120;530;1.7;52.2;3;Medium Slow;3;1;45;0;0;0;0;1.0;2.0;0.5;0.5;0.5;2.0;1.0;2.0;0.5;2.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0
254;Mega Sceptile;Grass;Dragon;[];70;110;75;145;85;145;630;1.9;55.2;6;Medium Slow;3;1;45;0;1;0;0;1.0;1.0;0.3;0.3;0.3;4.0;1.0;2.0;0.5;2.0;1.0;2.0;1.0;1.0;2.0;1.0;1.0;2.0
255;Torchic;Fire;;['Blaze', 'Speed Boost'];45;60;40;70;50;45;310;0.4;2.5;3;Medium Slow;1;0;45;0;0;0;0;1.0;0.5;2.0;1.0;0.5;0.5;1.0;1.0;2.0;1.0;1.0;0.5;2.0;1.0;1.0;1.0;0.5;0.5
256;Combusken;Fire;Fighting;['Blaze', 'Speed Boost'];60;85;60;85;60;55;405;0.9;19.5;3;Medium Slow;2;0;45;0;0;0;0;1.0;0.5;2.0;1.0;0.5;0.5;1.0;1.0;2.0;2.0;2.0;0.3;1.0;1.0;1.0;0.5;0.5;1.0
257;Blaziken;Fire;Fighting;['Blaze', 'Speed Boost'];80;120;70;110;70;80;530;1.9;52.0;3;Medium Slow;3;1;45;0;0;0;0;1.0;0.5;2.0;1.0;0.5;0.5;1.0;1.0;2.0;2.0;2.0;0.3;1.0;1.0;1.0;0.5;0.5;1.0
257;Mega Blaziken;Fire;Fighting;['Speed Boost'];80;160;80;130;80;100;630;1.9;52.0;6;Medium Slow;3;1;45;0;1;0;0;1.0;0.5;2.0;1.0;0.5;0.5;1.0;1.0;2.0;2.0;2.0;0.3;1.0;1.0;1.0;0.5;0.5;1.0
258;Mudkip;Water;;['Damp', 'Torrent'];50;70;50;50;50;40;310;0.4;7.6;3;Medium Slow;1;0;45;0;0;0;0;1.0;0.5;0.5;2.0;2.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0
259;Marshtomp;Water;Ground;['Damp', 'Torrent'];70;85;70;60;70;50;405;0.7;28.0;3;Medium Slow;2;0;45;0;0;0;0;1.0;0.5;1.0;0.0;4.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;0.5;1.0;1.0;1.0;0.5;1.0
260;Swampert;Water;Ground;['Damp', 'Torrent'];100;110;90;85;90;60;535;1.5;81.9;3;Medium Slow;3;1;45;0;0;0;0;1.0;0.5;1.0;0.0;4.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;0.5;1.0;1.0;1.0;0.5;1.0
260;Mega Swampert;Water;Ground;['Swift Swim'];100;150;110;95;110;70;635;1.9;102.0;6;Medium Slow;3;1;45;0;1;0;0;1.0;0.5;1.0;0.0;4.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;0.5;1.0;1.0;1.0;0.5;1.0
261;Poochyena;Dark;;['Quick Feet', 'Rattled', 'Run Away'];35;55;35;30;30;35;220;0.5;13.6;3;Medium Fast;1;0;255;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;0.0;2.0;1.0;0.5;1.0;0.5;1.0;2.0
262;Mightyena;Dark;;['Intimidate', 'Moxie', 'Quick Feet'];70;90;70;60;60;70;420;1.0;37.0;3;Medium Fast;2;1;127;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;0.0;2.0;1.0;0.5;1.0;0.5;1.0;2.0
263;Zigzagoon;Normal;;['Gluttony', 'Pickup', 'Quick Feet'];38;30;41;30;41;60;240;0.4;17.5;3;Medium Fast;1;0;255;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0
263;Galarian Zigzagoon;Dark;Normal;['Gluttony', 'Pickup', 'Quick Feet'];38;30;41;30;41;60;240;0.4;17.5;8;Medium Fast;1;0;255;0;0;0;1;1.0;1.0;1.0;1.0;1.0;1.0;4.0;1.0;1.0;1.0;0.0;2.0;1.0;0.0;1.0;0.5;1.0;2.0
264;Linoone;Normal;;['Gluttony', 'Pickup', 'Quick Feet'];78;70;61;50;61;100;420;0.5;32.5;3;Medium Fast;2;1;90;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0
264;Galarian Linoone;Dark;Normal;['Gluttony', 'Pickup', 'Quick Feet'];78;70;61;50;61;100;420;0.5;32.5;8;Medium Fast;2;0;90;0;0;0;1;1.0;1.0;1.0;1.0;1.0;1.0;4.0;1.0;1.0;1.0;0.0;2.0;1.0;0.0;1.0;0.5;1.0;2.0
265;Wurmple;Bug;;['Run Away', 'Shield Dust'];45;45;35;20;30;20;195;0.3;3.6;3;Medium Fast;1;0;255;0;0;0;0;1.0;2.0;1.0;1.0;0.5;1.0;0.5;1.0;0.5;2.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0
266;Silcoon;Bug;;['Shed Skin'];50;35;55;25;25;15;205;0.6;10.0;3;Medium Fast;2;0;120;0;0;0;0;1.0;2.0;1.0;1.0;0.5;1.0;0.5;1.0;0.5;2.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0
267;Beautifly;Bug;Flying;['Rivalry', 'Swarm'];60;70;50;100;50;65;395;1.0;28.4;3;Medium Fast;3;1;45;0;0;0;0;1.0;2.0;1.0;2.0;0.3;2.0;0.3;1.0;0.0;2.0;1.0;0.5;4.0;1.0;1.0;1.0;1.0;1.0
268;Cascoon;Bug;;['Shed Skin'];50;35;55;25;25;15;205;0.7;11.5;3;Medium Fast;2;0;120;0;0;0;0;1.0;2.0;1.0;1.0;0.5;1.0;0.5;1.0;0.5;2.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0
269;Dustox;Bug;Poison;['Shield Dust'];60;50;70;50;90;65;385;1.2;31.6;3;Medium Fast;3;1;45;0;0;0;0;1.0;2.0;1.0;1.0;0.3;1.0;0.3;0.5;1.0;2.0;2.0;0.5;2.0;1.0;1.0;1.0;1.0;0.5
270;Lotad;Water;Grass;['Own Tempo', 'Rain Dish', 'Swift Swim'];40;30;30;40;50;30;220;0.5;2.6;3;Medium Slow;1;0;255;0;0;0;0;1.0;1.0;0.3;1.0;1.0;1.0;1.0;2.0;0.5;2.0;1.0;2.0;1.0;1.0;1.0;1.0;0.5;1.0
271;Lombre;Water;Grass;['Own Tempo', 'Rain Dish', 'Swift Swim'];60;50;50;60;70;50;340;1.2;32.5;3;Medium Slow;2;0;120;0;0;0;0;1.0;1.0;0.3;1.0;1.0;1.0;1.0;2.0;0.5;2.0;1.0;2.0;1.0;1.0;1.0;1.0;0.5;1.0
272;Ludicolo;Water;Grass;['Own Tempo', 'Rain Dish', 'Swift Swim'];80;70;70;90;100;70;480;1.5;55.0;3;Medium Slow;3;1;45;0;0;0;0;1.0;1.0;0.3;1.0;1.0;1.0;1.0;2.0;0.5;2.0;1.0;2.0;1.0;1.0;1.0;1.0;0.5;1.0
273;Seedot;Grass;;['Chlorophyll', 'Early Bird', 'Pickpocket'];40;40;50;30;30;30;220;0.5;4.0;3;Medium Slow;1;0;255;0;0;0;0;1.0;2.0;0.5;0.5;0.5;2.0;1.0;2.0;0.5;2.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0
